PlayerName,Team,BirthDate,BirthCity,College,Height,Weight,PhotoUrl,Position,JerseyNo,ExperienceYear
Nene Hilario,HOU,9/13/1982,Sao Carlos,No College,83,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000439.png,C,42,16
Marcin Gortat,LAC,2/17/1984,Lodz,No College,83,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000440.png,C,13,11
Bradley Beal,WAS,6/28/1993,St. Louis,Florida,77,207,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000441.png,SG,3,6
John Wall,WAS,9/6/1990,Raleigh,Kentucky,76,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000442.png,PG,2,8
Otto Porter Jr.,WAS,6/3/1993,St. Louis,Georgetown,80,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000443.png,SF,22,5
Garrett Temple,MEM,5/8/1986,Baton Rouge,LSU,78,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000452.png,SG,17,8
Terrence Ross,ORL,2/5/1991,Portland,Washington,79,206,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000453.png,SG,31,6
Jonas Valanciunas,TOR,5/6/1992,Utena,No College,84,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000455.png,C,17,6
DeMar DeRozan,SAS,8/7/1989,Compton,USC,79,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000456.png,SG,10,9
Kyle Lowry,TOR,3/25/1986,Philadelphia,Villanova,73,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000457.png,PG,7,12
Amir Johnson,PHI,5/1/1987,Los Angeles,No College,81,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000458.png,PF,5,13
Lou Williams,LAC,10/27/1986,Memphis,No College,73,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000459.png,SG,23,13
Patrick Patterson,OKC,3/14/1989,Washington,Kentucky,81,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000460.png,PF,54,8
James Johnson,MIA,2/20/1987,Cheyenne,Wake Forest,80,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000464.png,PF,16,9
Bruno Caboclo,MEM,9/21/1995,Osasco,No College,81,218,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000466.png,SF,5,4
Anthony Davis,NOP,3/11/1993,Chicago,Kentucky,82,253,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000468.png,PF,23,6
Quincy Pondexter,SAS,3/10/1988,Fresno,Washington,79,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000469.png,SG,3,6
Eric Gordon,HOU,12/25/1988,Indianapolis,Indiana,76,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000471.png,SG,10,10
Tyreke Evans,IND,9/19/1989,Chester,Memphis,78,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000472.png,SG,12,9
Jrue Holiday,NOP,6/12/1990,Mission Hills,UCLA,76,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000474.png,PG,11,9
Ryan Anderson,PHO,5/6/1988,Sacramento,California,82,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000475.png,PF,15,10
Dante Cunningham,SAS,4/22/1987,Clinton,Villanova,80,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000476.png,SF,33,9
Draymond Green,GSW,3/4/1990,Saginaw,Michigan State,79,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000482.png,PF,23,6
Harrison Barnes,DAL,5/30/1992,Ames,North Carolina,80,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000483.png,SF,40,6
Stephen Curry,GSW,3/14/1988,Akron,Davidson,75,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000485.png,PG,30,9
Klay Thompson,GSW,2/8/1990,Los Angeles,Washington State,79,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000486.png,SG,11,7
Andre Iguodala,GSW,1/28/1984,Springfield,Arizona,78,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000487.png,SF,9,14
Shaun Livingston,GSW,9/11/1985,Peoria,No College,79,192,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000488.png,PG,34,13
Justin Holiday,MEM,4/5/1989,Mission Hills,Washington,78,181,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000492.png,SG,7,5
Giannis Antetokounmpo,MIL,12/6/1994,Athens,No College,83,242,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000497.png,PF,34,5
Ersan Ilyasova,MIL,5/15/1987,Eskisehir,No College,82,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000498.png,PF,77,10
Zaza Pachulia,DET,2/10/1984,Tbilisi,No College,83,270,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000499.png,C,27,15
Khris Middleton,MIL,8/12/1991,North Charleston,Texas A&amp;M,80,222,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000500.png,SF,22,6
John Henson,CLE,12/28/1990,Greensoboro,North Carolina,83,219,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000502.png,PF,31,6
Jerryd Bayless,MIN,8/20/1988,Phoenix,Arizona,75,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000504.png,PG,8,10
Jared Dudley,BKN,7/10/1985,San Diego,Boston College,79,237,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000505.png,SF,6,11
Miles Plumlee,ATL,9/1/1988,Ft. Wayne,Duke,83,249,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000509.png,C,18,6
Jabari Parker,CHI,3/15/1995,Chicago,Duke,80,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000511.png,PF,2,4
Pau Gasol,SAS,7/6/1980,Barcelona,No College,84,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000512.png,C,16,17
Joakim Noah,MEM,2/25/1985,New York,Florida,83,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000514.png,C,55,11
Jimmy Butler,PHI,9/14/1989,Houston,Marquette,80,232,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000515.png,SG,23,7
Derrick Rose,MIN,10/4/1988,Chicago,Memphis,75,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000516.png,PG,25,9
Taj Gibson,MIN,6/24/1985,Brooklyn,USC,81,232,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000517.png,PF,67,9
Tony Snell,MIL,11/10/1991,Los Angeles,New Mexico,79,213,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000519.png,SG,21,5
Nikola Mirotic,NOP,2/11/1991,Titograd,No College,82,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000520.png,PF,3,4
Doug McDermott,IND,1/3/1992,Grand Forks,Creighton,80,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000522.png,SF,20,4
E'Twaun Moore,NOP,2/25/1989,East Chicago,Purdue,76,191,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000524.png,SG,55,7
Chandler Parsons,MEM,10/25/1988,Casselberry,Florida,82,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000526.png,SF,25,7
Dirk Nowitzki,DAL,6/19/1978,Wurzburg,No College,84,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000527.png,PF,41,20
Tyson Chandler,LAL,10/2/1982,Hanford,No College,85,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000528.png,C,5,17
Rajon Rondo,LAL,2/22/1986,Louisville,Kentucky,73,186,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000530.png,PG,9,12
J.J. Barea,DAL,6/26/1984,Mayaguez,Northeastern,72,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000531.png,PG,5,12
Al-Farouq Aminu,POR,9/21/1990,Atlanta,Wake Forest,81,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000532.png,PF,8,8
Devin Harris,DAL,2/27/1983,Milwaukee,Wisconsin,75,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000534.png,PG,34,14
Raymond Felton,OKC,6/26/1984,Marion,North Carolina,73,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000537.png,PG,2,13
Dwight Powell,DAL,7/20/1991,Toronto,Stanford,83,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000539.png,PF,7,4
Trevor Ariza,WAS,6/30/1985,Miami,UCLA,80,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000541.png,SF,1,14
Dwight Howard,WAS,12/8/1985,Atlanta,No College,83,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000543.png,C,21,14
James Harden,HOU,8/26/1989,Bellflower,Arizona State,77,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000544.png,PG,13,9
Corey Brewer,PHI,3/5/1986,Portland,Florida,81,186,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000547.png,SF,0,11
Clint Capela,HOU,5/18/1994,Geneva,No College,82,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000549.png,C,15,4
Patrick Beverley,LAC,7/12/1988,Chicago,Arkansas,73,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000554.png,PG,21,6
Evan Turner,POR,10/27/1988,Chicago,Ohio State,79,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000556.png,SG,1,8
Avery Bradley,LAC,11/26/1990,Tacoma,Texas,74,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000559.png,SG,11,8
Marcus Smart,BOS,3/6/1994,Flower Mound,Oklahoma State,76,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000560.png,PG,36,4
Isaiah Thomas,DEN,2/7/1989,Tacoma,Washington,69,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000561.png,PG,0,7
Jae Crowder,UTA,7/6/1990,Villa Rica,Marquette,78,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000562.png,PF,99,6
Jonas Jerebko,GSW,3/2/1987,Kinna,No College,82,231,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000563.png,PF,21,8
Kelly Olynyk,MIA,4/19/1991,Toronto,Gonzaga,84,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000564.png,C,9,5
LeBron James,LAL,12/30/1984,Akron,No College,80,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000571.png,SF,23,15
Kevin Love,CLE,9/7/1988,Santa Monica,UCLA,82,251,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000572.png,PF,0,10
Timofey Mozgov,ORL,7/16/1986,St. Petersburg,No College,85,275,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000573.png,C,21,8
Kyrie Irving,BOS,3/23/1992,Melbourne,Duke,75,193,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000574.png,PG,11,7
J.R. Smith,CLE,9/9/1985,Freehold,No College,78,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000575.png,SG,5,14
Iman Shumpert,SAC,6/26/1990,Oak Park,Georgia Tech,77,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000576.png,SG,9,7
Tristan Thompson,CLE,3/13/1991,Brampton,Texas,82,238,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000577.png,C,13,7
Matthew Dellavedova,CLE,9/8/1990,Maryborough,Saint Mary&#x27;s,76,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000579.png,PG,18,5
Joe Harris,BKN,9/6/1991,Chelan,Virginia,78,218,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000584.png,SG,12,4
Thaddeus Young,IND,6/21/1988,New Orleans,Georgia Tech,80,221,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000587.png,PF,21,11
Brook Lopez,MIL,4/1/1988,Panorama City,Stanford,84,270,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000588.png,C,11,10
Bojan Bogdanovic,IND,4/18/1989,Mostar,No College,80,216,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000591.png,SF,44,4
Mason Plumlee,DEN,3/5/1990,Warsaw,Duke,83,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000594.png,C,24,5
DeMarre Carroll,BKN,7/27/1986,Birmingham,Missouri,80,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000601.png,SF,9,9
Paul Millsap,DEN,2/10/1985,Monroe,Louisiana Tech,80,246,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000602.png,PF,4,12
Al Horford,BOS,6/3/1986,Puerto Plata,Florida,82,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000603.png,PF,42,11
Kyle Korver,UTA,3/17/1981,Lakewood,Creighton,79,212,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000604.png,SG,26,15
Jeff Teague,MIN,6/10/1988,Indianapolis,Wake Forest,74,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000605.png,PG,0,9
Dennis Schroder,OKC,9/15/1993,Braunschweig,No College,73,172,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000606.png,PG,17,5
Kent Bazemore,ATL,7/1/1989,Kelford,Old Dominion,77,201,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000608.png,SG,24,6
Mike Scott,LAC,7/16/1988,Chesapeake,Virginia,80,237,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000609.png,PF,30,6
Shelvin Mack,MEM,4/22/1990,Lexington,Butler,75,203,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000610.png,PG,6,7
Mike Muscala,PHI,7/1/1991,St. Louis Park,Bucknell,83,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000613.png,PF,31,5
Thabo Sefolosha,UTA,5/2/1984,Vevey,No College,79,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000615.png,SF,22,12
LaMarcus Aldridge,SAS,7/19/1985,Dallas,Texas,83,260,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000616.png,PF,12,12
Nicolas Batum,CHA,12/14/1988,Lisieux,No College,80,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000617.png,SG,5,10
Robin Lopez,CHI,4/1/1988,North Hollywood,Stanford,84,275,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000618.png,C,42,10
Damian Lillard,POR,7/15/1990,Oakland,Weber State,75,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000619.png,PG,0,6
CJ McCollum,POR,9/19/1991,Canton,Lehigh,75,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000620.png,SG,3,5
Meyers Leonard,POR,2/27/1992,Robinson,Illinois,85,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000621.png,C,11,6
Allen Crabbe,BKN,4/9/1992,Los Angeles,California,78,212,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000622.png,SG,33,5
Tim Frazier,NOP,11/1/1990,Houston,Penn State,73,170,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000625.png,PG,10,4
Wesley Matthews,DAL,10/14/1986,San Antonio,Marquette,77,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000629.png,SG,23,9
Zach Randolph,SAC,7/16/1981,Marion,Michigan State,81,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000631.png,PF,50,17
Jeff Green,WAS,8/28/1986,Cheverly,Georgetown,81,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000632.png,SF,32,10
Marc Gasol,MEM,1/29/1985,Barcelona,No College,85,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000633.png,C,33,10
Courtney Lee,NYK,10/3/1985,Indianapolis,Western Kentucky,77,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000634.png,SG,5,10
Mike Conley,MEM,10/11/1987,Fayetteville,Ohio State,73,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000635.png,PG,11,11
Vince Carter,ATL,1/26/1977,Daytona Beach,North Carolina,78,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000638.png,SG,15,20
Kosta Koufos,SAC,2/24/1989,Canton,Ohio State,84,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000639.png,C,41,10
JaMychal Green,MEM,6/21/1990,Montgomery,Alabama,81,227,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000642.png,PF,0,4
Jon Leuer,DET,5/14/1989,Long Lake,Wisconsin,82,228,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000643.png,PF,30,7
Kawhi Leonard,TOR,6/29/1991,Riverside,San Diego State,79,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000646.png,SF,2,7
Tony Parker,CHA,5/17/1982,Bruges,No College,74,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000649.png,PG,9,17
Danny Green,TOR,6/22/1987,North Babylon,North Carolina,78,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000650.png,SG,14,9
Aron Baynes,BOS,12/9/1986,Gisborne,Washington State,82,260,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000652.png,C,46,6
Marco Belinelli,SAS,3/25/1986,Bologna,No College,77,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000654.png,SG,18,11
Cory Joseph,IND,8/20/1991,Toronto,Texas,75,193,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000655.png,PG,6,7
Patty Mills,SAS,8/11/1988,Canberra,Saint Mary&#x27;s,72,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000656.png,PG,8,9
Kyle Anderson,MEM,9/20/1993,New York,UCLA,81,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000659.png,SF,1,4
Blake Griffin,DET,3/16/1989,Oklahoma City,Oklahoma,82,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000661.png,PF,23,8
DeAndre Jordan,DAL,7/21/1988,Houston,Texas A&amp;M,83,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000663.png,C,6,10
Chris Paul,HOU,5/6/1985,Winston-Salem,Wake Forest,72,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000664.png,PG,3,13
JJ Redick,PHI,6/24/1984,Cookeville,Duke,76,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000665.png,SF,17,12
Jamal Crawford,PHO,3/20/1980,Seattle,Michigan,77,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000666.png,SG,11,18
